response_id,lockdown_period,subscale,score
R_000jgq6zfKH3jcB,before,anxiety,18
R_000jgq6zfKH3jcB,before,depression,14
R_000jgq6zfKH3jcB,before,stress,18
R_000jgq6zfKH3jcB,during,anxiety,28
R_000jgq6zfKH3jcB,during,depression,26
R_000jgq6zfKH3jcB,during,stress,34
R_06y6RQMIag7OLT3,before,anxiety,0
R_06y6RQMIag7OLT3,before,depression,2
R_06y6RQMIag7OLT3,before,stress,0
R_06y6RQMIag7OLT3,during,anxiety,0
R_06y6RQMIag7OLT3,during,depression,2
R_06y6RQMIag7OLT3,during,stress,0
R_0D28y4Gxg25qSR3,before,anxiety,2
R_0D28y4Gxg25qSR3,before,depression,16
R_0D28y4Gxg25qSR3,before,stress,2
R_0D28y4Gxg25qSR3,during,anxiety,2
R_0D28y4Gxg25qSR3,during,depression,32
R_0D28y4Gxg25qSR3,during,stress,4
R_0Ii8fPkhD9I10Yh,before,anxiety,0
R_0Ii8fPkhD9I10Yh,before,depression,10
R_0Ii8fPkhD9I10Yh,before,stress,20
R_0Ii8fPkhD9I10Yh,during,anxiety,0
R_0Ii8fPkhD9I10Yh,during,depression,6
R_0Ii8fPkhD9I10Yh,during,stress,22
R_0pRhQEssmj1aIbT,before,anxiety,0
R_0pRhQEssmj1aIbT,before,depression,14
R_0pRhQEssmj1aIbT,before,stress,20
R_0pRhQEssmj1aIbT,during,anxiety,20
R_0pRhQEssmj1aIbT,during,depression,22
R_0pRhQEssmj1aIbT,during,stress,36
R_0vTXEcLGjOc6uRj,before,anxiety,2
R_0vTXEcLGjOc6uRj,before,depression,2
R_0vTXEcLGjOc6uRj,before,stress,8
R_0vTXEcLGjOc6uRj,during,anxiety,2
R_0vTXEcLGjOc6uRj,during,depression,2
R_0vTXEcLGjOc6uRj,during,stress,6
R_10IYWwAbUvh1Uhh,before,anxiety,6
R_10IYWwAbUvh1Uhh,before,depression,22
R_10IYWwAbUvh1Uhh,before,stress,18
R_10IYWwAbUvh1Uhh,during,anxiety,4
R_10IYWwAbUvh1Uhh,during,depression,28
R_10IYWwAbUvh1Uhh,during,stress,16
R_10TobIjLKGhA3cQ,before,anxiety,2
R_10TobIjLKGhA3cQ,before,depression,0
R_10TobIjLKGhA3cQ,before,stress,0
R_10TobIjLKGhA3cQ,during,anxiety,0
R_10TobIjLKGhA3cQ,during,depression,0
R_10TobIjLKGhA3cQ,during,stress,0
R_111rjgTikYEbPtb,before,anxiety,20
R_111rjgTikYEbPtb,before,depression,18
R_111rjgTikYEbPtb,before,stress,30
R_111rjgTikYEbPtb,during,anxiety,4
R_111rjgTikYEbPtb,during,depression,4
R_111rjgTikYEbPtb,during,stress,14
R_12LI8ats6sqsq4j,before,anxiety,10
R_12LI8ats6sqsq4j,before,depression,14
R_12LI8ats6sqsq4j,before,stress,14
R_12LI8ats6sqsq4j,during,anxiety,12
R_12LI8ats6sqsq4j,during,depression,16
R_12LI8ats6sqsq4j,during,stress,12
R_1BXwMl8IvhYRkFs,before,anxiety,0
R_1BXwMl8IvhYRkFs,before,depression,0
R_1BXwMl8IvhYRkFs,before,stress,0
R_1BXwMl8IvhYRkFs,during,anxiety,0
R_1BXwMl8IvhYRkFs,during,depression,0
R_1BXwMl8IvhYRkFs,during,stress,0
R_1CkeSqHcTu6ioRR,before,anxiety,0
R_1CkeSqHcTu6ioRR,before,depression,2
R_1CkeSqHcTu6ioRR,before,stress,0
R_1CkeSqHcTu6ioRR,during,anxiety,0
R_1CkeSqHcTu6ioRR,during,depression,6
R_1CkeSqHcTu6ioRR,during,stress,6
R_1cSrZsKJbMLVpfn,before,anxiety,2
R_1cSrZsKJbMLVpfn,before,depression,10
R_1cSrZsKJbMLVpfn,before,stress,6
R_1cSrZsKJbMLVpfn,during,anxiety,2
R_1cSrZsKJbMLVpfn,during,depression,14
R_1cSrZsKJbMLVpfn,during,stress,4
R_1Cy9Qzx0gi4C0n2,before,anxiety,6
R_1Cy9Qzx0gi4C0n2,before,depression,24
R_1Cy9Qzx0gi4C0n2,before,stress,24
R_1Cy9Qzx0gi4C0n2,during,anxiety,6
R_1Cy9Qzx0gi4C0n2,during,depression,42
R_1Cy9Qzx0gi4C0n2,during,stress,38
R_1dFdkaSKE6hI4m0,before,anxiety,22
R_1dFdkaSKE6hI4m0,before,depression,16
R_1dFdkaSKE6hI4m0,before,stress,30
R_1dFdkaSKE6hI4m0,during,anxiety,22
R_1dFdkaSKE6hI4m0,during,depression,28
R_1dFdkaSKE6hI4m0,during,stress,24
R_1DtGqgKOtlhl4vS,before,anxiety,2
R_1DtGqgKOtlhl4vS,before,depression,2
R_1DtGqgKOtlhl4vS,before,stress,0
R_1DtGqgKOtlhl4vS,during,anxiety,8
R_1DtGqgKOtlhl4vS,during,depression,24
R_1DtGqgKOtlhl4vS,during,stress,18
R_1E0SL2RcGCHB4YG,before,anxiety,6
R_1E0SL2RcGCHB4YG,before,depression,12
R_1E0SL2RcGCHB4YG,before,stress,4
R_1E0SL2RcGCHB4YG,during,anxiety,4
R_1E0SL2RcGCHB4YG,during,depression,8
R_1E0SL2RcGCHB4YG,during,stress,0
R_1E5vpihv0BCn2Jo,before,anxiety,12
R_1E5vpihv0BCn2Jo,before,depression,30
R_1E5vpihv0BCn2Jo,before,stress,26
R_1E5vpihv0BCn2Jo,during,anxiety,12
R_1E5vpihv0BCn2Jo,during,depression,34
R_1E5vpihv0BCn2Jo,during,stress,24
R_1eqNc6OUIYqj3s8,before,anxiety,14
R_1eqNc6OUIYqj3s8,before,depression,6
R_1eqNc6OUIYqj3s8,before,stress,12
R_1eqNc6OUIYqj3s8,during,anxiety,0
R_1eqNc6OUIYqj3s8,during,depression,0
R_1eqNc6OUIYqj3s8,during,stress,0
R_1FKyUMNfVFCfhAP,before,anxiety,0
R_1FKyUMNfVFCfhAP,before,depression,10
R_1FKyUMNfVFCfhAP,before,stress,12
R_1FKyUMNfVFCfhAP,during,anxiety,4
R_1FKyUMNfVFCfhAP,during,depression,16
R_1FKyUMNfVFCfhAP,during,stress,16
R_1Fl9AQQ2mrxHqGW,before,anxiety,0
R_1Fl9AQQ2mrxHqGW,before,depression,0
R_1Fl9AQQ2mrxHqGW,before,stress,2
R_1Fl9AQQ2mrxHqGW,during,anxiety,0
R_1Fl9AQQ2mrxHqGW,during,depression,10
R_1Fl9AQQ2mrxHqGW,during,stress,12
R_1FmqwzhhGgMovg2,before,anxiety,2
R_1FmqwzhhGgMovg2,before,depression,16
R_1FmqwzhhGgMovg2,before,stress,20
