response_id,regularly_play_during,regularly_play_before,total_hours_played_during,total_hours_played_before
R_28NVjdZPvV2fLBs,yes,yes,45,15
R_2rPjSQLcIC8CDty,yes,yes,30,15
R_upLgg7PndxOE2Vr,yes,yes,35,12
R_1NmQkOcQT42agWF,yes,yes,20,15
R_2SwMBZLcD2f52ij,yes,yes,0,0
R_2QJLcvGH3VwNmlZ,yes,no,20,0
R_000jgq6zfKH3jcB,yes,yes,35,10
R_2cd59QR5hZHKBZT,yes,yes,55,16
R_2dQRwob8W5KZXgY,yes,yes,0,0
R_2tqUYhzsg6ITwD1,yes,yes,50,35
R_2SvQK62v9Z0NpaC,yes,no,30,0
R_1q9BHkV242D62cG,yes,yes,45,30
R_1LCosfUrLhSMxRQ,yes,yes,9,15
R_2f82SUumXJ91Tm8,yes,yes,90,60
R_3PjYxPdMelfAuAx,yes,yes,30,25
R_6rhaURmMWIpWVwd,yes,no,18,0
R_2tJtUaHMu03QTQ1,yes,yes,20,10
R_20NVUurOXIj6JN6,yes,yes,30,45
R_1FKyUMNfVFCfhAP,yes,yes,41,15
R_OPvs1zUpPEvZoEp,yes,yes,50,24
R_54O3tQvET3fkQAV,yes,yes,45,45
R_2TBpq77Wwtwqrfh,yes,no,10,0
R_2e2R7LJzpLYQiWW,yes,yes,20,10
R_2Sq2mphrvRDkWOh,yes,yes,16,4
R_9Z70MwcyCsPC9X3,yes,yes,10,15
R_2zBXAI5qUYmV4DB,yes,yes,45,25
R_1Ow1FDuzbwtWStS,yes,yes,0,0
R_33ElcIgec3OQYlt,yes,yes,0,30
R_SBupPeUb0kJ7NJL,yes,yes,36,20
R_z7JR0f6BK2Ps1i1,yes,yes,37,25
R_0Ii8fPkhD9I10Yh,yes,yes,0,0
R_UoPiHE2v8sEVOJb,yes,yes,26,7.000000000000001
R_A5JYMcChIUBrgWJ,yes,yes,0,0
R_2QlDr5bgON19Dbf,yes,no,0,0
R_1ls2eVKvEiK6S4N,yes,yes,45,25
R_3efCQahFkiEWLUo,yes,yes,22,10
R_3EtZJ865VyxA1dS,yes,yes,0,0
R_1CkeSqHcTu6ioRR,yes,yes,4,8
R_12LI8ats6sqsq4j,yes,yes,35,25
R_21vy4qSSLUBhkI5,yes,yes,30,14.000000000000002
R_2DZSUz54Rl39uyo,yes,yes,5,12
R_3gYE1Oyb2ecCXAO,yes,yes,40,20
R_R80uXkBmWsWOzfP,yes,yes,46,33
R_RePvY6Xpy9N1z45,yes,yes,0,0
R_0pRhQEssmj1aIbT,yes,yes,30,22
R_1mEDv9S4U18sxZe,yes,yes,7.000000000000001,4
R_06y6RQMIag7OLT3,yes,yes,35,10
R_23Ulx9Mu6ClxGOJ,yes,yes,15,5
R_3nkCL8JrVmutsy2,yes,yes,0,0
R_10IYWwAbUvh1Uhh,yes,yes,0,0
R_1BXwMl8IvhYRkFs,yes,yes,0,30
R_Zgzav0hvyZ96c6d,yes,yes,65,40
R_1K1Fc63G8b1FSAP,yes,yes,10,10
R_3qyQeKqDkX0mMPk,yes,yes,0,0
R_1ImlmXBKKlXZVm0,yes,yes,40,12
R_3Gg2Ve4XnzJBPL1,yes,yes,90,60
R_2fIesR987yHKjDw,yes,yes,12,8
R_3G0VtsBQfB5T8jI,yes,yes,14.000000000000002,13
R_3sAOu08DzJCbsCx,yes,yes,0,0
R_1NfE7qpbaFYk306,yes,yes,35,40
R_1pYYllRKHfnN46F,yes,yes,14.000000000000002,6
R_WerDtRBiVK6hlnP,yes,yes,30,20
R_333VdNEK4f8Xyui,yes,no,30,0
R_2cdROg831T1vhEC,yes,yes,60,60
R_p5CA0SZn571DSEN,yes,yes,25,15
R_2CvKeTojbEMdWFy,yes,yes,30,12
R_3hywX9R1oSIynmb,yes,yes,40,15
R_27ExcEAbe7WWZAY,yes,yes,20,15
R_cTISqj1k1d4BAOd,yes,yes,0,0
R_3OEuDPyfhuyKTkd,yes,yes,0,0
R_1H78Zq7MMV4bmUw,yes,yes,45,15
R_2cvas4XCHYE6Kkz,no,yes,0,28.000000000000004
R_3HpP9AcM8KfmlN5,yes,yes,28.000000000000004,12
R_1MXmVmetdFpHiB4,yes,yes,25,6
R_2rZRXqFfn0ikBOS,yes,yes,0,15
R_1Cy9Qzx0gi4C0n2,yes,yes,0,0
R_3LXrDOSOEDocie5,yes,no,35,0
R_3PAINhZstYwZKnG,yes,yes,55,5.999999999999999
R_RzB3YPB2gpL3ylr,yes,yes,45,35
R_BueCPimsWc9Utd7,yes,yes,24,12
R_2Clwma6pSIEIvrW,yes,yes,20,7.000000000000001
R_0D28y4Gxg25qSR3,yes,no,15,0
R_1M3DvETU5JOu5b0,yes,no,0,0
R_3iWtUWUbIxPab5K,yes,yes,0,0
R_2CB7Tu6CfOt3tUN,yes,yes,60.99999999999999,25
R_2ARphcLKbG8pCbs,yes,yes,8,2
R_1dFdkaSKE6hI4m0,yes,no,15,0
R_3D7xVjOEj7lRX1u,yes,no,8,0
R_246tBSBZyx6fChw,no,no,0,0
R_3DcJPhdo2DHBes3,yes,yes,15,10
R_3EjaJDRhLy9xsUT,yes,yes,90,70
R_3gLfJnM7hmP4b0g,yes,yes,0,45
R_1GKJM6pEM2FrpLP,yes,yes,28.999999999999996,14.000000000000002
R_3h0zYlV2nMlsjkp,no,yes,0,11.999999999999998
R_2bVGOK2omxjKHpn,yes,yes,10,10
R_3ne0xvsnUk3Dg2b,yes,yes,65,49
R_1riU7KvjYAwtXJE,no,no,0,0
R_33m18XGfnq4Vj9o,yes,yes,60,60
R_2YyT0OjStuntyXf,yes,yes,20,40
R_2QzW5HTDKSQoIdW,yes,yes,10,10
R_1PYHLXLRtVtLKCC,yes,yes,22,20
R_2fvruv9ZivyF7o5,yes,yes,40,30
R_1Fl9AQQ2mrxHqGW,yes,yes,35,15
R_2wmnaQBPNB7V2gM,yes,yes,15,15
R_piX57LSmaReTby1,yes,yes,10,8
R_Oju76sshryv7YAh,yes,yes,28.000000000000004,0
R_Xjm191b0NxVNvbz,yes,yes,31,10
R_30uRCB7vSqjK8Tf,yes,yes,21,15
R_1QfJ0V1q7quecwG,yes,yes,0,15
R_2VkJBjNuuyAttyZ,yes,yes,25,22
R_RLcbhnqjnjLiaVX,yes,yes,13.5,3
R_2B4II5QqOBTuBsc,yes,yes,30,15
R_1M5w3AllKLTG9vr,yes,yes,56.24,43.2
R_2fvUAwVkhV1ypOM,yes,yes,0,0
R_0vTXEcLGjOc6uRj,yes,yes,30,22
R_3259jqnrUhcJUgT,yes,no,25,0
R_3VJUdRxHSSY9KRH,yes,yes,60,40
R_b3OqdK3QYKKuHYd,yes,yes,12,5
R_8jHHv1qsC7vCAz7,yes,yes,20,14
