response_id,time,subscale,item,score
R_28NVjdZPvV2fLBs,before,stress,1,3
R_28NVjdZPvV2fLBs,before,anxiety,2,4
R_28NVjdZPvV2fLBs,before,depression,3,4
R_28NVjdZPvV2fLBs,before,anxiety,4,2
R_28NVjdZPvV2fLBs,before,depression,5,4
R_28NVjdZPvV2fLBs,before,stress,6,2
R_28NVjdZPvV2fLBs,before,anxiety,7,4
R_28NVjdZPvV2fLBs,before,stress,8,4
R_28NVjdZPvV2fLBs,before,anxiety,9,4
R_28NVjdZPvV2fLBs,before,depression,10,4
R_28NVjdZPvV2fLBs,before,stress,11,4
R_28NVjdZPvV2fLBs,before,stress,12,4
R_28NVjdZPvV2fLBs,before,depression,13,4
R_28NVjdZPvV2fLBs,before,stress,14,4
R_28NVjdZPvV2fLBs,before,anxiety,15,4
R_28NVjdZPvV2fLBs,before,depression,16,4
R_28NVjdZPvV2fLBs,before,depression,17,4
R_28NVjdZPvV2fLBs,before,stress,18,3
R_28NVjdZPvV2fLBs,before,anxiety,19,3
R_28NVjdZPvV2fLBs,before,anxiety,20,1
R_28NVjdZPvV2fLBs,before,depression,21,4
R_28NVjdZPvV2fLBs,after,stress,1,4
R_28NVjdZPvV2fLBs,after,anxiety,2,4
R_28NVjdZPvV2fLBs,after,depression,3,4
R_28NVjdZPvV2fLBs,after,anxiety,4,4
R_28NVjdZPvV2fLBs,after,depression,5,4
R_28NVjdZPvV2fLBs,after,stress,6,4
R_28NVjdZPvV2fLBs,after,anxiety,7,4
R_28NVjdZPvV2fLBs,after,stress,8,4
R_28NVjdZPvV2fLBs,after,anxiety,9,4
R_28NVjdZPvV2fLBs,after,depression,10,4
R_28NVjdZPvV2fLBs,after,stress,11,4
R_28NVjdZPvV2fLBs,after,stress,12,4
R_28NVjdZPvV2fLBs,after,depression,13,4
R_28NVjdZPvV2fLBs,after,stress,14,4
R_28NVjdZPvV2fLBs,after,anxiety,15,4
R_28NVjdZPvV2fLBs,after,depression,16,4
R_28NVjdZPvV2fLBs,after,depression,17,4
R_28NVjdZPvV2fLBs,after,stress,18,4
R_28NVjdZPvV2fLBs,after,anxiety,19,4
