Model,SD,Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
anxiety_main,1,(lockdown_period1) = 0,0.1200282115443375,0.18301765110562787,-0.239116775,0.4720970249999997,4.389828314615195,0.8144653332855938,
anxiety_main,1,(total_hours_played_s) = 0,-0.2223139682569375,0.38554613877165306,-0.994965425,0.5214025999999996,2.2851981215593358,0.695604355354573,
anxiety_main,1,(lockdown_period1:total_hours_played_s) = 0,-0.07858957602195,0.20173495508315037,-0.47633365000000005,0.3176629499999991,4.750479173772168,0.8261014482826089,
depression_main,1,(lockdown_period1) = 0,0.0913081859193375,0.17254873377152657,-0.24433037500000002,0.42946699999999993,5.1002020315096095,0.836071003085691,
depression_main,1,(total_hours_played_s) = 0,0.0322944522595375,0.3646645252227161,-0.6921804,0.7510976999999996,2.6605758822045256,0.726818939921069,
depression_main,1,(lockdown_period1:total_hours_played_s) = 0,0.1978893392989875,0.18855336485378463,-0.17636605,0.5725838749999996,3.090865490601916,0.7555529502748664,
loneliness_main,1,(lockdown_period1) = 0,0.1528065827733375,0.1806366184463146,-0.20044320000000002,0.5096314249999998,3.9923833567023,0.7996948694539864,
loneliness_main,1,(total_hours_played_s) = 0,0.2531067599985,0.3415549750196157,-0.39721607499999995,0.9493186249999996,2.234669294071366,0.6908493854896262,
loneliness_main,1,(lockdown_period1:total_hours_played_s) = 0,-0.0901494720017375,0.18440267514560327,-0.45789245,0.2675785749999999,4.76080904513896,0.8264132707464393,
stress_main,1,(lockdown_period1) = 0,-0.0022965067225625,0.1750683069652704,-0.34802415000000003,0.34621944999999976,6.155284396815587,0.860243151139451,
stress_main,1,(total_hours_played_s) = 0,-0.1281475052975,0.3533996687625112,-0.822249175,0.5737530249999998,2.793797785925895,0.7364118868670948,
stress_main,1,(lockdown_period1:total_hours_played_s) = 0,0.237348672999,0.18936816721553895,-0.13766749999999997,0.6128744999999998,2.5476468269911803,0.7181230125863128,
