response_id,lockdown_period,subscale,score
R_0HrndcL3lki2lZ7,before,anxiety,10
R_0HrndcL3lki2lZ7,before,depression,16
R_0HrndcL3lki2lZ7,before,stress,16
R_0HrndcL3lki2lZ7,during,anxiety,18
R_0HrndcL3lki2lZ7,during,depression,36
R_0HrndcL3lki2lZ7,during,stress,32
R_0PSG9nkpvJ2cBah,before,anxiety,8
R_0PSG9nkpvJ2cBah,before,depression,24
R_0PSG9nkpvJ2cBah,before,stress,20
R_0PSG9nkpvJ2cBah,during,anxiety,12
R_0PSG9nkpvJ2cBah,during,depression,40
R_0PSG9nkpvJ2cBah,during,stress,26
R_12JyJmQfO8sTgUl,before,anxiety,22
R_12JyJmQfO8sTgUl,before,depression,42
R_12JyJmQfO8sTgUl,before,stress,32
R_12JyJmQfO8sTgUl,during,anxiety,30
R_12JyJmQfO8sTgUl,during,depression,34
R_12JyJmQfO8sTgUl,during,stress,30
R_1DM7yYCOiYR4ya2,before,anxiety,22
R_1DM7yYCOiYR4ya2,before,depression,20
R_1DM7yYCOiYR4ya2,before,stress,20
R_1DM7yYCOiYR4ya2,during,anxiety,24
R_1DM7yYCOiYR4ya2,during,depression,20
R_1DM7yYCOiYR4ya2,during,stress,26
R_1ffI8lqVrhKTZ7E,before,anxiety,0
R_1ffI8lqVrhKTZ7E,before,depression,2
R_1ffI8lqVrhKTZ7E,before,stress,0
R_1ffI8lqVrhKTZ7E,during,anxiety,0
R_1ffI8lqVrhKTZ7E,during,depression,2
R_1ffI8lqVrhKTZ7E,during,stress,0
R_1FFzNzuAi8fWUl4,before,anxiety,2
R_1FFzNzuAi8fWUl4,before,depression,20
R_1FFzNzuAi8fWUl4,before,stress,16
R_1FFzNzuAi8fWUl4,during,anxiety,4
R_1FFzNzuAi8fWUl4,during,depression,26
R_1FFzNzuAi8fWUl4,during,stress,12
R_1GwdHSgm3odLvzg,before,anxiety,20
R_1GwdHSgm3odLvzg,before,depression,26
R_1GwdHSgm3odLvzg,before,stress,22
R_1GwdHSgm3odLvzg,during,anxiety,30
R_1GwdHSgm3odLvzg,during,depression,42
R_1GwdHSgm3odLvzg,during,stress,38
R_1H0rge5nxLFRo3v,before,anxiety,10
R_1H0rge5nxLFRo3v,before,depression,40
R_1H0rge5nxLFRo3v,before,stress,20
R_1H0rge5nxLFRo3v,during,anxiety,10
R_1H0rge5nxLFRo3v,during,depression,42
R_1H0rge5nxLFRo3v,during,stress,22
R_1hVTVxhlItv93am,before,anxiety,6
R_1hVTVxhlItv93am,before,depression,10
R_1hVTVxhlItv93am,before,stress,4
R_1hVTVxhlItv93am,during,anxiety,12
R_1hVTVxhlItv93am,during,depression,18
R_1hVTVxhlItv93am,during,stress,12
R_1i5qKh6GOnE0oJ3,before,anxiety,10
R_1i5qKh6GOnE0oJ3,before,depression,12
R_1i5qKh6GOnE0oJ3,before,stress,12
R_1i5qKh6GOnE0oJ3,during,anxiety,4
R_1i5qKh6GOnE0oJ3,during,depression,12
R_1i5qKh6GOnE0oJ3,during,stress,6
R_1IWvRT0mkoPQqkR,before,anxiety,16
R_1IWvRT0mkoPQqkR,before,depression,30
R_1IWvRT0mkoPQqkR,before,stress,22
R_1IWvRT0mkoPQqkR,during,anxiety,14
R_1IWvRT0mkoPQqkR,during,depression,36
R_1IWvRT0mkoPQqkR,during,stress,24
R_1jiU18Tkb0T0XV3,before,anxiety,4
R_1jiU18Tkb0T0XV3,before,depression,10
R_1jiU18Tkb0T0XV3,before,stress,14
R_1jiU18Tkb0T0XV3,during,anxiety,2
