response_id,amotivation_during,amotivation_before,external_regulation_during,external_regulation_before,identified_regulation_during,identified_regulation_before,instrinsic_motivation_during,instrinsic_motivation_before,integrated_regulation_during,integrated_regulation_before,introjected_regulation_during,introjected_regulation_before
R_0HrndcL3lki2lZ7,14,6,34,28,8,12,34,28,10,14,6,6
R_0PSG9nkpvJ2cBah,24,18,6,6,16,24,32,36,14,22,6,6
R_12JyJmQfO8sTgUl,12,30,18,16,16,14,26,20,18,14,12,12
R_1DM7yYCOiYR4ya2,6,6,28,28,32,32,34,30,34,32,18,18
R_1ffI8lqVrhKTZ7E,6,6,6,6,6,6,18,18,6,8,6,6
R_1FFzNzuAi8fWUl4,6,8,18,18,6,6,28,28,6,6,6,6
R_1GwdHSgm3odLvzg,6,8,28,30,14,6,34,30,14,20,18,12
R_1H0rge5nxLFRo3v,6,6,30,22,26,24,36,26,32,32,20,18
R_1hVTVxhlItv93am,28,28,8,10,6,6,24,26,6,10,6,6
R_1i5qKh6GOnE0oJ3,12,12,26,26,24,22,30,28,30,28,20,18
R_1IWvRT0mkoPQqkR,22,18,18,16,12,14,26,20,12,6,12,16
R_1jiU18Tkb0T0XV3,6,8,32,30,22,20,30,30,8,10,8,8
R_1KcXIYg2VO1BoxX,6,6,20,22,8,10,30,28,16,22,10,12
R_1LOoKq6ur4rIe2k,6,6,22,14,36,24,36,36,36,30,8,10
R_1meXA4TrxC5Vg18,32,12,30,18,12,18,16,26,18,18,12,12
R_1OZgGesjhXXAzby,6,6,30,22,6,14,34,32,6,6,6,6
R_1q261O0L8N3K286,6,8,10,8,6,12,16,24,6,10,6,8
R_1QDQVGgr43kczoS,6,8,18,16,20,26,22,22,8,8,6,6
R_1Qza6Mn31sTJeYL,22,20,12,26,14,14,14,14,12,14,12,14
R_21b9j1WapXLQCLl,8,12,26,18,12,18,24,26,12,18,6,12
R_21EuXEwnMl0yxTK,22,24,22,22,26,24,28,30,28,26,30,28
R_23W8Gu6uSBy5aEM,6,6,12,10,14,20,18,16,22,14,16,18
R_2CPzQnu9xzkVMwO,6,6,26,20,32,34,30,24,36,36,24,18
R_2dEoEx60XXDHIIc,6,6,26,26,36,36,36,36,36,36,8,16
R_2f7DrkD8sE89X7v,26,26,12,12,14,18,22,26,16,22,16,12
R_2PCnueh0z8dxONX,6,6,6,12,18,20,26,22,10,6,6,6
R_2qEHaRpK9wttPrJ,6,6,8,10,8,12,14,22,6,16,6,6
R_2tmo57HEtiFMvam,8,8,8,8,8,8,14,18,10,16,12,14
R_2U30JqzB8uJ3URG,8,8,18,18,6,8,12,18,6,6,6,6
R_2U4rKifkmjVyf6B,16,14,18,16,16,8,16,18,12,8,12,12
R_2uNXceKKzdWqUIT,6,6,18,18,18,18,26,20,14,16,6,6
R_2v8uF7yPoq01u0w,6,10,14,16,12,14,22,22,8,16,10,12
R_2VgXBPQ7UiiIILW,6,6,12,12,8,10,26,32,10,16,8,8
R_2WMfTALD7U10gRI,12,6,18,6,16,6,26,12,18,6,12,6
R_2Xiozx8q35QPmPN,12,12,18,18,16,18,26,26,18,18,12,12
R_2zMWZPoTl4gnah2,6,6,6,6,20,22,28,26,12,12,8,10
R_2zVbcDhM4AXPsZT,6,6,20,22,20,18,22,24,20,20,12,12
R_30enO1wA4LKIhUd,12,16,18,26,16,6,26,26,18,16,12,6
R_325eUWTIGcn1611,8,10,10,14,6,6,18,16,10,6,8,8
R_330XwyrcBDhgBbG,6,6,10,6,10,8,12,12,6,6,8,8
R_3CPHuI39ahB49V3,8,8,6,6,6,6,6,10,6,6,6,6
R_3EbVJrxApyyyxvF,6,6,32,34,16,22,22,26,16,22,28,36
R_3feFL01maECWrJE,6,6,6,6,6,6,6,6,6,6,6,10
R_3fxYkqCxaavMK2C,6,12,6,18,6,18,22,26,6,18,6,12
R_3gSjiAkUHvZ1gGz,6,6,24,22,24,10,36,34,18,18,6,6
R_3gZQ1C8SCyoh4Yc,6,6,24,16,12,16,30,24,16,16,24,16
R_3hh98EI7vZruSPW,12,6,18,10,16,16,26,22,18,26,12,10
R_3isVf81cZgHhWye,6,6,6,6,30,28,26,24,28,36,16,24
R_3iw1b49YIXMCguO,6,6,10,10,18,18,18,30,10,18,6,6
R_3IXNsI0MDPSrAEU,6,6,22,18,34,30,36,36,36,36,20,20
R_3j2oWZoAEr1njjz,12,12,14,14,14,12,26,36,22,22,6,6
R_3KHiukMNRuxucCu,6,6,28,20,16,16,26,28,16,16,8,10
R_3L0dsQEmJBoz6CB,36,30,32,26,24,28,26,32,20,28,22,20
R_3m96s3870QvAUkz,12,22,18,30,16,6,26,28,18,10,12,14
R_3mltujcfVRDBFwo,12,12,18,18,16,18,26,26,18,18,12,12
R_3nIcJNaem29eD3m,6,6,26,30,20,22,24,26,20,24,16,12
R_3P6tAdx0tJOoBY2,18,24,26,20,14,12,28,18,20,14,22,6
R_3PcoH72zwQSCOj0,6,6,20,12,34,30,26,28,22,18,10,10
R_3PcqPxFcGNpruMf,6,6,14,12,16,14,22,20,22,20,10,10
R_3pmQxy0TjRvKfQq,12,22,18,22,16,16,26,22,18,14,12,16
R_3rYAprW0GQ77H60,6,14,28,30,22,28,30,32,20,30,10,28
R_3siyKpiPmQRcuE2,6,6,24,22,28,28,28,30,30,32,16,20
R_55QtESMR1CmR1bb,18,20,6,6,10,16,16,22,6,12,18,10
R_9zzr3A5XBoHiHol,6,12,6,18,10,18,24,26,8,18,6,12
R_A672rfL6ej9Rq8h,22,12,22,18,12,18,24,26,18,18,22,12
R_b3Iy7fxUDsppxAJ,6,6,36,28,28,36,36,32,32,30,16,16
R_CZwSxUPuv8a4BYl,6,6,6,6,6,6,10,6,6,6,6,6
R_efceETmT2E2TBXH,36,32,22,16,20,22,30,28,30,24,36,22
R_egrPbOmESOQ7LH3,6,6,34,34,24,24,32,30,26,24,20,24
R_pJC3uBxyJBR1a1z,6,6,20,22,24,24,26,30,18,24,12,10
R_Q4TbigA0CMUCMAF,28,16,24,36,16,30,20,30,22,28,36,26
