response_id,recorded_date,start_date,end_date,progress,duration,finished,consent,age,sex,highest_education_level,secondary_school_current,college_current,undergrad_current,postgrad_current,employed_full_current,employed_part_current,employed_self_current,unemployed_current,other_education_employ_current,lockdown_worked_as_normal,lockdown_worked_at_home,lockdown_made_redundant,lockdown_furloughed,lockdown_other,living_with_partner,living_with_parents_caregivers,living_with_housemates,living_alone,living_other
R_3L0dsQEmJBoz6CB,2020-11-16T09:55:00Z,2020-11-16T09:45:23Z,2020-11-16T09:55:00Z,100,577S,1,1,21,male,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
R_55QtESMR1CmR1bb,2020-11-16T10:07:47Z,2020-11-16T09:57:42Z,2020-11-16T10:07:47Z,100,604S,1,1,25,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_egrPbOmESOQ7LH3,2020-11-16T10:09:00Z,2020-11-16T09:48:28Z,2020-11-16T10:08:59Z,100,1231S,1,1,28,male,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
R_1DM7yYCOiYR4ya2,2020-11-16T11:11:06Z,2020-11-16T10:57:28Z,2020-11-16T11:11:05Z,100,816S,1,1,21,other,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_A672rfL6ej9Rq8h,2020-11-16T11:24:00Z,2020-11-16T11:17:51Z,2020-11-16T11:24:00Z,100,369S,1,1,19,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R_3nIcJNaem29eD3m,2020-11-16T11:34:24Z,2020-11-16T11:16:47Z,2020-11-16T11:34:23Z,100,1055S,1,1,21,male,undergraduate_degree,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
R_3IXNsI0MDPSrAEU,2020-11-16T11:41:24Z,2020-11-16T11:23:52Z,2020-11-16T11:41:24Z,100,1051S,1,1,20,other,undergraduate_degree,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
R_3mltujcfVRDBFwo,2020-11-16T11:42:35Z,2020-11-16T11:34:46Z,2020-11-16T11:42:34Z,100,468S,1,1,41,male,school,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
R_21b9j1WapXLQCLl,2020-11-16T11:48:54Z,2020-11-16T11:37:50Z,2020-11-16T11:48:53Z,100,663S,1,1,21,female,college,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R_CZwSxUPuv8a4BYl,2020-11-16T11:55:57Z,2020-11-16T11:26:33Z,2020-11-16T11:55:57Z,100,1763S,1,1,64,female,other,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
