response_id,loneliness_before,loneliness_after
R_0HrndcL3lki2lZ7,9,9
R_0PSG9nkpvJ2cBah,7,9
R_12JyJmQfO8sTgUl,9,8
R_1DM7yYCOiYR4ya2,5,5
R_1ffI8lqVrhKTZ7E,4,4
R_1FFzNzuAi8fWUl4,5,5
R_1GwdHSgm3odLvzg,8,9
R_1H0rge5nxLFRo3v,7,7
R_1hVTVxhlItv93am,8,7
R_1i5qKh6GOnE0oJ3,6,7
R_1IWvRT0mkoPQqkR,9,8
R_1jiU18Tkb0T0XV3,5,5
R_1KcXIYg2VO1BoxX,3,3
R_1LOoKq6ur4rIe2k,3,3
R_1meXA4TrxC5Vg18,6,8
R_1OZgGesjhXXAzby,4,5
R_1PduFoVTfVrZ2rb,4,5
R_1PRfsA5T7H2CKfS,7,7
R_1q261O0L8N3K286,3,3
R_1QDQVGgr43kczoS,6,7
R_1Qza6Mn31sTJeYL,4,6
R_21b9j1WapXLQCLl,8,9
R_21EuXEwnMl0yxTK,8,8
R_23W8Gu6uSBy5aEM,4,6
R_2CPzQnu9xzkVMwO,6,6
R_2dEoEx60XXDHIIc,8,8
R_2doSEH7IKdCE7CF,6,7
R_2f3rm3GgNbp4CRq,8,8
R_2f7DrkD8sE89X7v,5,6
R_2PCnueh0z8dxONX,6,7
R_2qEHaRpK9wttPrJ,4,6
R_2tmo57HEtiFMvam,3,4
R_2U30JqzB8uJ3URG,6,7
R_2U4rKifkmjVyf6B,4,6
R_2uNXceKKzdWqUIT,4,5
R_2v8uF7yPoq01u0w,6,6
R_2VgXBPQ7UiiIILW,6,6
R_2WMfTALD7U10gRI,5,5
R_2Xiozx8q35QPmPN,8,8
R_2zMWZPoTl4gnah2,5,5
R_2ZNtv2mSWkr9BAA,4,4
R_2zVbcDhM4AXPsZT,6,6
R_30enO1wA4LKIhUd,8,7
R_325eUWTIGcn1611,6,6
R_330XwyrcBDhgBbG,4,4
R_3CPHuI39ahB49V3,3,3
R_3EbVJrxApyyyxvF,7,7
R_3feFL01maECWrJE,9,9
R_3ffaX6ZxMiXrdas,6,8
R_3fxYkqCxaavMK2C,4,4
R_3gSjiAkUHvZ1gGz,6,6
R_3gZQ1C8SCyoh4Yc,5,8
R_3hh98EI7vZruSPW,3,4
R_3isVf81cZgHhWye,6,6
R_3iw1b49YIXMCguO,3,3
R_3IXNsI0MDPSrAEU,6,6
R_3j2oWZoAEr1njjz,7,5
R_3JKlZpSiIyeDuwv,9,5
R_3KHiukMNRuxucCu,4,5
R_3L0dsQEmJBoz6CB,8,6
R_3m96s3870QvAUkz,4,4
R_3mltujcfVRDBFwo,3,3
R_3nIcJNaem29eD3m,5,4
R_3P6tAdx0tJOoBY2,7,8
R_3PcoH72zwQSCOj0,5,5
R_3PcqPxFcGNpruMf,6,3
R_3pmQxy0TjRvKfQq,6,4
R_3rYAprW0GQ77H60,3,3
R_3siyKpiPmQRcuE2,3,3
R_55QtESMR1CmR1bb,4,6
R_9zzr3A5XBoHiHol,9,9
R_A672rfL6ej9Rq8h,7,8
R_b3Iy7fxUDsppxAJ,6,6
R_CZwSxUPuv8a4BYl,5,5
R_efceETmT2E2TBXH,5,4
R_egrPbOmESOQ7LH3,9,9
R_ekEOouSfdEsS5vb,3,3
R_pJC3uBxyJBR1a1z,6,6
R_Q4TbigA0CMUCMAF,5,6
R_rqkHtlJzlFPbYgF,6,5
R_SSMMEEODX9uDbLr,8,6
R_TemVHsV6Me3tByp,9,8
R_x5Wbvksc6tIcvE5,5,4
R_xAymUDRf13ewvE5,3,6
