response_id,time,subscale,score
R_000jgq6zfKH3jcB,after,anxiety,28
R_000jgq6zfKH3jcB,after,depression,26
R_000jgq6zfKH3jcB,after,stress,34
R_000jgq6zfKH3jcB,before,anxiety,18
R_000jgq6zfKH3jcB,before,depression,14
R_000jgq6zfKH3jcB,before,stress,18
R_06y6RQMIag7OLT3,after,anxiety,0
R_06y6RQMIag7OLT3,after,depression,4
R_06y6RQMIag7OLT3,after,stress,0
R_06y6RQMIag7OLT3,before,anxiety,0
R_06y6RQMIag7OLT3,before,depression,2
R_06y6RQMIag7OLT3,before,stress,0
R_0pRhQEssmj1aIbT,after,anxiety,20
R_0pRhQEssmj1aIbT,after,depression,22
R_0pRhQEssmj1aIbT,after,stress,36
R_0pRhQEssmj1aIbT,before,anxiety,0
R_0pRhQEssmj1aIbT,before,depression,14
R_0pRhQEssmj1aIbT,before,stress,20
R_0vTXEcLGjOc6uRj,after,anxiety,2
R_0vTXEcLGjOc6uRj,after,depression,2
R_0vTXEcLGjOc6uRj,after,stress,6
R_0vTXEcLGjOc6uRj,before,anxiety,2
R_0vTXEcLGjOc6uRj,before,depression,4
R_0vTXEcLGjOc6uRj,before,stress,8
R_10TobIjLKGhA3cQ,after,anxiety,0
R_10TobIjLKGhA3cQ,after,depression,0
R_10TobIjLKGhA3cQ,after,stress,0
R_10TobIjLKGhA3cQ,before,anxiety,2
R_10TobIjLKGhA3cQ,before,depression,0
R_10TobIjLKGhA3cQ,before,stress,0
R_111rjgTikYEbPtb,after,anxiety,4
R_111rjgTikYEbPtb,after,depression,4
R_111rjgTikYEbPtb,after,stress,14
R_111rjgTikYEbPtb,before,anxiety,20
R_111rjgTikYEbPtb,before,depression,18
R_111rjgTikYEbPtb,before,stress,30
R_12LI8ats6sqsq4j,after,anxiety,12
R_12LI8ats6sqsq4j,after,depression,16
R_12LI8ats6sqsq4j,after,stress,12
R_12LI8ats6sqsq4j,before,anxiety,10
R_12LI8ats6sqsq4j,before,depression,14
R_12LI8ats6sqsq4j,before,stress,14
R_1CkeSqHcTu6ioRR,after,anxiety,0
R_1CkeSqHcTu6ioRR,after,depression,6
R_1CkeSqHcTu6ioRR,after,stress,6
R_1CkeSqHcTu6ioRR,before,anxiety,0
R_1CkeSqHcTu6ioRR,before,depression,2
R_1CkeSqHcTu6ioRR,before,stress,0
R_1cSrZsKJbMLVpfn,after,anxiety,2
R_1cSrZsKJbMLVpfn,after,depression,14
R_1cSrZsKJbMLVpfn,after,stress,4
R_1cSrZsKJbMLVpfn,before,anxiety,2
R_1cSrZsKJbMLVpfn,before,depression,10
R_1cSrZsKJbMLVpfn,before,stress,6
R_1DtGqgKOtlhl4vS,after,anxiety,8
R_1DtGqgKOtlhl4vS,after,depression,24
R_1DtGqgKOtlhl4vS,after,stress,18
R_1DtGqgKOtlhl4vS,before,anxiety,2
R_1DtGqgKOtlhl4vS,before,depression,2
R_1DtGqgKOtlhl4vS,before,stress,0
R_1E5vpihv0BCn2Jo,after,anxiety,12
R_1E5vpihv0BCn2Jo,after,depression,34
R_1E5vpihv0BCn2Jo,after,stress,24
R_1E5vpihv0BCn2Jo,before,anxiety,12
R_1E5vpihv0BCn2Jo,before,depression,30
R_1E5vpihv0BCn2Jo,before,stress,26
R_1eqNc6OUIYqj3s8,after,anxiety,0
R_1eqNc6OUIYqj3s8,after,depression,0
R_1eqNc6OUIYqj3s8,after,stress,0
R_1eqNc6OUIYqj3s8,before,anxiety,14
R_1eqNc6OUIYqj3s8,before,depression,6
R_1eqNc6OUIYqj3s8,before,stress,12
R_1FKyUMNfVFCfhAP,after,anxiety,4
R_1FKyUMNfVFCfhAP,after,depression,16
R_1FKyUMNfVFCfhAP,after,stress,16
R_1FKyUMNfVFCfhAP,before,anxiety,0
R_1FKyUMNfVFCfhAP,before,depression,10
R_1FKyUMNfVFCfhAP,before,stress,12
R_1Fl9AQQ2mrxHqGW,after,anxiety,0
R_1Fl9AQQ2mrxHqGW,after,depression,10
R_1Fl9AQQ2mrxHqGW,after,stress,12
R_1Fl9AQQ2mrxHqGW,before,anxiety,0
R_1Fl9AQQ2mrxHqGW,before,depression,0
R_1Fl9AQQ2mrxHqGW,before,stress,2
R_1GKJM6pEM2FrpLP,after,anxiety,4
R_1GKJM6pEM2FrpLP,after,depression,2
R_1GKJM6pEM2FrpLP,after,stress,0
R_1GKJM6pEM2FrpLP,before,anxiety,4
R_1GKJM6pEM2FrpLP,before,depression,8
R_1GKJM6pEM2FrpLP,before,stress,8
R_1H78Zq7MMV4bmUw,after,anxiety,0
R_1H78Zq7MMV4bmUw,after,depression,0
R_1H78Zq7MMV4bmUw,after,stress,0
R_1H78Zq7MMV4bmUw,before,anxiety,0
R_1H78Zq7MMV4bmUw,before,depression,0
R_1H78Zq7MMV4bmUw,before,stress,0
R_1HbCUjufNKWfBV4,after,anxiety,20
R_1HbCUjufNKWfBV4,after,depression,28
R_1HbCUjufNKWfBV4,after,stress,34
R_1HbCUjufNKWfBV4,before,anxiety,20
R_1HbCUjufNKWfBV4,before,depression,30
R_1HbCUjufNKWfBV4,before,stress,20
R_1ImlmXBKKlXZVm0,after,anxiety,18
R_1ImlmXBKKlXZVm0,after,depression,22
R_1ImlmXBKKlXZVm0,after,stress,26
R_1ImlmXBKKlXZVm0,before,anxiety,8
R_1ImlmXBKKlXZVm0,before,depression,12
R_1ImlmXBKKlXZVm0,before,stress,14
R_1isdeJ0akLVA05z,after,anxiety,0
R_1isdeJ0akLVA05z,after,depression,30
R_1isdeJ0akLVA05z,after,stress,16
R_1isdeJ0akLVA05z,before,anxiety,2
R_1isdeJ0akLVA05z,before,depression,30
R_1isdeJ0akLVA05z,before,stress,10
R_1jf9Sx7JAoAu6dB,after,anxiety,6
R_1jf9Sx7JAoAu6dB,after,depression,20
R_1jf9Sx7JAoAu6dB,after,stress,18
R_1jf9Sx7JAoAu6dB,before,anxiety,8
R_1jf9Sx7JAoAu6dB,before,depression,8
R_1jf9Sx7JAoAu6dB,before,stress,14
R_1jkddLsj0iUCBlG,after,anxiety,2
R_1jkddLsj0iUCBlG,after,depression,6
R_1jkddLsj0iUCBlG,after,stress,16
R_1jkddLsj0iUCBlG,before,anxiety,0
R_1jkddLsj0iUCBlG,before,depression,2
R_1jkddLsj0iUCBlG,before,stress,6
R_1jptKS7BPpIT1cD,after,anxiety,0
R_1jptKS7BPpIT1cD,after,depression,10
R_1jptKS7BPpIT1cD,after,stress,6
R_1jptKS7BPpIT1cD,before,anxiety,0
R_1jptKS7BPpIT1cD,before,depression,10
R_1jptKS7BPpIT1cD,before,stress,12
R_1K1Fc63G8b1FSAP,after,anxiety,6
R_1K1Fc63G8b1FSAP,after,depression,12
R_1K1Fc63G8b1FSAP,after,stress,12
R_1K1Fc63G8b1FSAP,before,anxiety,10
R_1K1Fc63G8b1FSAP,before,depression,28
R_1K1Fc63G8b1FSAP,before,stress,22
R_1Ka3YhFFxRPhu6A,after,anxiety,16
R_1Ka3YhFFxRPhu6A,after,depression,32
R_1Ka3YhFFxRPhu6A,after,stress,30
R_1Ka3YhFFxRPhu6A,before,anxiety,12
R_1Ka3YhFFxRPhu6A,before,depression,10
R_1Ka3YhFFxRPhu6A,before,stress,10
R_1LCosfUrLhSMxRQ,after,anxiety,8
R_1LCosfUrLhSMxRQ,after,depression,28
R_1LCosfUrLhSMxRQ,after,stress,22
R_1LCosfUrLhSMxRQ,before,anxiety,4
R_1LCosfUrLhSMxRQ,before,depression,2
R_1LCosfUrLhSMxRQ,before,stress,12
R_1ls2eVKvEiK6S4N,after,anxiety,4
R_1ls2eVKvEiK6S4N,after,depression,6
R_1ls2eVKvEiK6S4N,after,stress,8
R_1ls2eVKvEiK6S4N,before,anxiety,4
R_1ls2eVKvEiK6S4N,before,depression,8
R_1ls2eVKvEiK6S4N,before,stress,8
R_1M5w3AllKLTG9vr,after,anxiety,8
R_1M5w3AllKLTG9vr,after,depression,6
R_1M5w3AllKLTG9vr,after,stress,14
R_1M5w3AllKLTG9vr,before,anxiety,2
R_1M5w3AllKLTG9vr,before,depression,0
R_1M5w3AllKLTG9vr,before,stress,2
R_1mEDv9S4U18sxZe,after,anxiety,16
R_1mEDv9S4U18sxZe,after,depression,14
R_1mEDv9S4U18sxZe,after,stress,28
R_1mEDv9S4U18sxZe,before,anxiety,16
R_1mEDv9S4U18sxZe,before,depression,22
R_1mEDv9S4U18sxZe,before,stress,30
R_1mIvz4scUnVKLx7,after,anxiety,10
R_1mIvz4scUnVKLx7,after,depression,32
R_1mIvz4scUnVKLx7,after,stress,20
R_1mIvz4scUnVKLx7,before,anxiety,4
R_1mIvz4scUnVKLx7,before,depression,20
R_1mIvz4scUnVKLx7,before,stress,18
R_1MXmVmetdFpHiB4,after,anxiety,4
