response_id,lockdown_period,subscale,item,score
R_3L0dsQEmJBoz6CB,before,stress,1,2
R_3L0dsQEmJBoz6CB,before,anxiety,2,2
R_3L0dsQEmJBoz6CB,before,depression,3,0
R_3L0dsQEmJBoz6CB,before,anxiety,4,0
R_3L0dsQEmJBoz6CB,before,depression,5,0
R_3L0dsQEmJBoz6CB,before,stress,6,0
R_3L0dsQEmJBoz6CB,before,anxiety,7,0
R_3L0dsQEmJBoz6CB,before,stress,8,1
R_3L0dsQEmJBoz6CB,before,anxiety,9,0
R_3L0dsQEmJBoz6CB,before,depression,10,2
R_3L0dsQEmJBoz6CB,before,stress,11,0
R_3L0dsQEmJBoz6CB,before,stress,12,1
R_3L0dsQEmJBoz6CB,before,depression,13,2
R_3L0dsQEmJBoz6CB,before,stress,14,1
R_3L0dsQEmJBoz6CB,before,anxiety,15,0
R_3L0dsQEmJBoz6CB,before,depression,16,0
R_3L0dsQEmJBoz6CB,before,depression,17,0
R_3L0dsQEmJBoz6CB,before,stress,18,0
R_3L0dsQEmJBoz6CB,before,anxiety,19,0
R_3L0dsQEmJBoz6CB,before,anxiety,20,0
R_3L0dsQEmJBoz6CB,before,depression,21,0
R_3L0dsQEmJBoz6CB,during,stress,1,1
R_3L0dsQEmJBoz6CB,during,anxiety,2,0
R_3L0dsQEmJBoz6CB,during,depression,3,0
R_3L0dsQEmJBoz6CB,during,anxiety,4,0
R_3L0dsQEmJBoz6CB,during,depression,5,0
R_3L0dsQEmJBoz6CB,during,stress,6,0
R_3L0dsQEmJBoz6CB,during,anxiety,7,0
R_3L0dsQEmJBoz6CB,during,stress,8,0
R_3L0dsQEmJBoz6CB,during,anxiety,9,0
R_3L0dsQEmJBoz6CB,during,depression,10,2
R_3L0dsQEmJBoz6CB,during,stress,11,0
R_3L0dsQEmJBoz6CB,during,stress,12,1
R_3L0dsQEmJBoz6CB,during,depression,13,2
R_3L0dsQEmJBoz6CB,during,stress,14,1
R_3L0dsQEmJBoz6CB,during,anxiety,15,0
R_3L0dsQEmJBoz6CB,during,depression,16,0
R_3L0dsQEmJBoz6CB,during,depression,17,0
R_3L0dsQEmJBoz6CB,during,stress,18,0
R_3L0dsQEmJBoz6CB,during,anxiety,19,0
R_3L0dsQEmJBoz6CB,during,anxiety,20,0
R_3L0dsQEmJBoz6CB,during,depression,21,0
R_55QtESMR1CmR1bb,before,stress,1,2
R_55QtESMR1CmR1bb,before,anxiety,2,0
R_55QtESMR1CmR1bb,before,depression,3,1
R_55QtESMR1CmR1bb,before,anxiety,4,0
R_55QtESMR1CmR1bb,before,depression,5,1
R_55QtESMR1CmR1bb,before,stress,6,0
R_55QtESMR1CmR1bb,before,anxiety,7,0
R_55QtESMR1CmR1bb,before,stress,8,1
R_55QtESMR1CmR1bb,before,anxiety,9,0
R_55QtESMR1CmR1bb,before,depression,10,1
R_55QtESMR1CmR1bb,before,stress,11,2
R_55QtESMR1CmR1bb,before,stress,12,1
R_55QtESMR1CmR1bb,before,depression,13,2
R_55QtESMR1CmR1bb,before,stress,14,0
R_55QtESMR1CmR1bb,before,anxiety,15,1
R_55QtESMR1CmR1bb,before,depression,16,1
R_55QtESMR1CmR1bb,before,depression,17,0
R_55QtESMR1CmR1bb,before,stress,18,1
R_55QtESMR1CmR1bb,before,anxiety,19,1
R_55QtESMR1CmR1bb,before,anxiety,20,0
R_55QtESMR1CmR1bb,before,depression,21,0
R_55QtESMR1CmR1bb,during,stress,1,3
R_55QtESMR1CmR1bb,during,anxiety,2,0
R_55QtESMR1CmR1bb,during,depression,3,2
R_55QtESMR1CmR1bb,during,anxiety,4,0
R_55QtESMR1CmR1bb,during,depression,5,2
R_55QtESMR1CmR1bb,during,stress,6,0
R_55QtESMR1CmR1bb,during,anxiety,7,0
R_55QtESMR1CmR1bb,during,stress,8,1
R_55QtESMR1CmR1bb,during,anxiety,9,0
R_55QtESMR1CmR1bb,during,depression,10,2
R_55QtESMR1CmR1bb,during,stress,11,2
R_55QtESMR1CmR1bb,during,stress,12,2
R_55QtESMR1CmR1bb,during,depression,13,2
R_55QtESMR1CmR1bb,during,stress,14,0
R_55QtESMR1CmR1bb,during,anxiety,15,1
